"omega","p0x","px0","n","estimator","mean","var","bias","bias_sq","mse"
2,0.1,0.33,500,"estimate_c05",0.694061755810083,0.0944419674297013,0.000914575250137495,8.36447888164061e-07,0.0944428038775895
2,0.1,0.33,500,"estimate_mle",0.694012899962295,0.0982552200137389,0.000865719402349696,7.49470083604715e-07,0.0982559694838225
2,0.1,0.33,500,"estimate_oracle",0.648554325764121,0.0854651422684954,-0.044592854795824,0.00198852269884144,0.0874536649673368
2,0.1,0.33,500,"estimate_pi",0.648099649748868,0.100588534359642,-0.0450475308110773,0.00202928003217496,0.102617814391817
2,0.1,0.33,1000,"estimate_c05",0.692179368459065,0.046110619125538,-0.000967812100880483,9.36660262610694e-07,0.0461115557858006
2,0.1,0.33,1000,"estimate_mle",0.692223307788278,0.0469848775476646,-0.000923872771667278,8.53540898228178e-07,0.0469857310885629
2,0.1,0.33,1000,"estimate_oracle",0.668905656932083,0.0438215664303612,-0.0242415236278619,0.000587651467800188,0.0444092178981614
2,0.1,0.33,1000,"estimate_pi",0.667156229647214,0.0493376999276008,-0.0259909509127316,0.000675529529348025,0.0500132294569489
2,0.1,0.33,2000,"estimate_c05",0.69592930995759,0.0230119183441559,0.00278212939764433,7.74024398523679e-06,0.0230196585881411
2,0.1,0.33,2000,"estimate_mle",0.695965740678096,0.0232237610066063,0.0028185601181504,7.94428113962802e-06,0.023231705287746
2,0.1,0.33,2000,"estimate_oracle",0.684094358054966,0.0224357200642147,-0.00905282250497941,8.19535953066616e-05,0.0225176736595213
2,0.1,0.33,2000,"estimate_pi",0.683594556923242,0.02390377825988,-0.00955262363670351,9.12526183445065e-05,0.0239950308782245
2,0.1,0.33,5000,"estimate_c05",0.691011045501642,0.00901659832526986,-0.00213613505830346,4.56307298731311e-06,0.00902116139825717
2,0.1,0.33,5000,"estimate_mle",0.691018521152075,0.00904942251048677,-0.00212865940787021,4.53119087471437e-06,0.00905395370136148
2,0.1,0.33,5000,"estimate_oracle",0.686254313103008,0.00892513615623697,-0.00689286745693707,4.75116217789021e-05,0.00897264777801587
2,0.1,0.33,5000,"estimate_pi",0.686141310004737,0.00914990758427958,-0.00700587055520874,4.90822222363408e-05,0.00919898980651592
2,0.1,0.33,10000,"estimate_c05",0.693785286713657,0.00469539063220614,0.00063810615371207,4.07179463405212e-07,0.00469579781166954
2,0.1,0.33,10000,"estimate_mle",0.693792135066831,0.00470395822905666,0.000644954506885398,4.15966315951787e-07,0.00470437419537261
2,0.1,0.33,10000,"estimate_oracle",0.691392558237058,0.00467158737722762,-0.00175462232288737,3.07869949597466e-06,0.00467466607672359
2,0.1,0.33,10000,"estimate_pi",0.691374177673274,0.00472910204499535,-0.00177300288667126,3.14353923614462e-06,0.0047322455842315
2,0.1,0.5,500,"estimate_c05",0.693946663134794,0.0987805269647044,0.00079948257484852,6.3917238748642e-07,0.0987811661370918
2,0.1,0.5,500,"estimate_mle",0.708479122301309,0.103814962757964,0.0153319417413634,0.000235068437560562,0.104050031195525
2,0.1,0.5,500,"estimate_oracle",0.648950769165651,0.0846443175376342,-0.044196411394294,0.00195332278013368,0.0865976403177679
2,0.1,0.5,500,"estimate_pi",0.649151706164416,0.105218287791308,-0.0439954743955291,0.00193560176728766,0.107153889558596
2,0.1,0.5,1000,"estimate_c05",0.694400502653037,0.0497405371739773,0.00125332209309215,1.57081626903288e-06,0.0497421079902464
2,0.1,0.5,1000,"estimate_mle",0.701399449556843,0.0509029648130674,0.00825226899689724,6.80999435971514e-05,0.0509710647566645
2,0.1,0.5,1000,"estimate_oracle",0.671379190700781,0.0460724297503451,-0.0217679898591643,0.000473845382508679,0.0465462751328537
2,0.1,0.5,1000,"estimate_pi",0.670091040379898,0.0528849435000453,-0.0230561401800472,0.000531585600001987,0.0534165291000473
2,0.1,0.5,2000,"estimate_c05",0.689988065449199,0.0244253988581164,-0.00315911511074662,9.98000828294766e-06,0.0244353788663993
2,0.1,0.5,2000,"estimate_mle",0.693391620377809,0.0247009887811942,0.000244439817863817,5.97508245572962e-08,0.0247010485320188
2,0.1,0.5,2000,"estimate_oracle",0.678412365631959,0.0235070323738059,-0.0147348149279868,0.000217114770962022,0.0237241471447679
2,0.1,0.5,2000,"estimate_pi",0.677841587069443,0.0252711073513452,-0.0153055934905021,0.0002342611920965,0.0255053685434417
2,0.1,0.5,5000,"estimate_c05",0.69217181015836,0.009811754036608,-0.000975370401585574,9.51347420289203e-07,0.00981270538402829
2,0.1,0.5,5000,"estimate_mle",0.693529136166996,0.00985556246121544,0.000381955607050677,1.45890085757451e-07,0.00985570835130119
2,0.1,0.5,5000,"estimate_oracle",0.687484972723093,0.00966190730235318,-0.00566220783685278,3.20605975877171e-05,0.0096939678999409
2,0.1,0.5,5000,"estimate_pi",0.68739537021577,0.00994372175932814,-0.00575181034417516,3.30833222353603e-05,0.0099768050815635
2,0.1,0.5,10000,"estimate_c05",0.693858398585067,0.00480068622527339,0.000711218025121307,5.05831079257453e-07,0.00480119205635264
2,0.1,0.5,10000,"estimate_mle",0.694536391537764,0.0048113260650685,0.00138921097781919,1.92990714089335e-06,0.00481325597220939
2,0.1,0.5,10000,"estimate_oracle",0.691501826780796,0.00476378373462383,-0.00164535377914932,2.70718905856094e-06,0.00476649092368239
2,0.1,0.5,10000,"estimate_pi",0.691489013919119,0.00483221324403018,-0.00165816664082663,2.74951660875027e-06,0.00483496276063893
2,0.1,0.9,500,"estimate_c05",0.676568851906066,0.428833496459345,-0.0165783286538796,0.000274840980956047,0.429108337440301
2,0.1,0.9,500,"estimate_mle",0.746235152608387,0.357072403220739,0.0530879720484417,0.00281833277621613,0.359890735996955
2,0.1,0.9,500,"estimate_oracle",0.566930067852697,0.200414758199342,-0.126217112707248,0.0159307595401542,0.216345517739497
2,0.1,0.9,500,"estimate_pi",0.627504906693593,0.404765023433364,-0.0656422738663518,0.00430890811834513,0.409073931551709
2,0.1,0.9,1000,"estimate_c05",0.700485980245714,0.226475788203844,0.00733879968576856,5.38579808278367e-05,0.226529646184672
2,0.1,0.9,1000,"estimate_mle",0.786221970898091,0.254904022002891,0.0930747903381456,0.00866291659648976,0.263566938599381
2,0.1,0.9,1000,"estimate_oracle",0.643134127703438,0.149198927563618,-0.0500130528565076,0.00250130545602782,0.151700233019645
2,0.1,0.9,1000,"estimate_pi",0.660565023546356,0.229354027924285,-0.0325821570135895,0.0010615969556582,0.230415624879944
2,0.1,0.9,2000,"estimate_c05",0.691299567055912,0.105074924547626,-0.00184761350403295,3.41367566028492e-06,0.105078338223286
2,0.1,0.9,2000,"estimate_mle",0.734975663614959,0.115930408564408,0.0418284830550136,0.00174962199468356,0.117680030559092
2,0.1,0.9,2000,"estimate_oracle",0.665623752519955,0.0875623047591242,-0.0275234280399899,0.0007575390910725,0.0883198438501967
2,0.1,0.9,2000,"estimate_pi",0.666801856826533,0.10931325708745,-0.0263453237334124,0.000694076082618301,0.110007333170068
2,0.1,0.9,5000,"estimate_c05",0.691476572520088,0.0415864898931345,-0.00167060803985764,2.79093122283697e-06,0.0415892808243573
2,0.1,0.9,5000,"estimate_mle",0.708043636848382,0.0430462741385388,0.0148964562884369,0.000221904409953313,0.0432681785484921
2,0.1,0.9,5000,"estimate_oracle",0.681714136734181,0.0388158917890015,-0.0114330438257644,0.000130714491121849,0.0389466062801234
2,0.1,0.9,5000,"estimate_pi",0.681545739237134,0.0425974284054792,-0.0116014413228108,0.000134593440766623,0.0427320218462458
2,0.1,0.9,10000,"estimate_c05",0.693540319397138,0.0202281477509539,0.000393138837192608,1.54558145309156e-07,0.0202283023090992
2,0.1,0.9,10000,"estimate_mle",0.701694625377219,0.0205684076156355,0.00854744481727354,7.30588129043363e-05,0.0206414664285398
2,0.1,0.9,10000,"estimate_oracle",0.688714889270391,0.0195544941720495,-0.00443229128955458,1.96452060754614e-05,0.019574139378125
2,0.1,0.9,10000,"estimate_pi",0.688711104867704,0.0204592876615085,-0.0044360756922408,1.96787675472897e-05,0.0204789664290558
2,0.5,0.33,500,"estimate_c05",0.689609736459721,0.0373953103180788,-0.00353744410022383,1.25135107622084e-05,0.037407823828841
2,0.5,0.33,500,"estimate_mle",0.693265733348948,0.0378275222657837,0.000118552789002857,1.40547637803559e-08,0.0378275363205475
2,0.5,0.33,500,"estimate_oracle",0.646607458573609,0.0326217136001845,-0.0465397219863359,0.00216594572256544,0.0347876593227499
2,0.5,0.33,500,"estimate_pi",0.644786174071552,0.0413924262930286,-0.0483610064883935,0.00233878694857044,0.043731213241599
2,0.5,0.33,1000,"estimate_c05",0.69407624723469,0.0192013659509406,0.000929066674744905,8.63164886121555e-07,0.0192022291158268
2,0.5,0.33,1000,"estimate_mle",0.695901061954272,0.0193094882795124,0.00275388139432697,7.58386273402028e-06,0.0193170721422464
2,0.5,0.33,1000,"estimate_oracle",0.671615873283451,0.0179077247691364,-0.021531307276494,0.000463597193034803,0.0183713219621712
2,0.5,0.33,1000,"estimate_pi",0.671035440844499,0.0204230810046021,-0.0221117397154468,0.000488929033243666,0.0209120100378458
2,0.5,0.33,2000,"estimate_c05",0.69313458051386,0.00966573988115987,-1.2600046085165e-05,1.58761161348281e-10,0.00966574003992104
2,0.5,0.33,2000,"estimate_mle",0.69404327408726,0.00969301600568627,0.000896093527314901,8.02983609695661e-07,0.00969381898929596
