"n","lambda_a","lambda_e","lambda_diff"
50,0.0208476574966075,0.027375711864232,-0.00652805436762456
100,0.0107416534231275,0.0189877712024982,-0.00824611777937064
150,0.00723463074006827,0.014250030245589,-0.00701539950552075
200,0.00545397309019997,0.0112935806413232,-0.0058396075511232
250,0.00437672980244434,0.00950501926793467,-0.00512828946549033
300,0.00365484240365645,0.00849104800849479,-0.00483620560483834
350,0.00313737176963482,0.00697193726585516,-0.00383456549622034
400,0.00274825960471971,0.00555203960549436,-0.00280378000077465
450,0.00244501669637573,0.00518639905291821,-0.00274138235654248
500,0.00220204328547915,0.00500464383063442,-0.00280260054515528
600,0.00183694971491908,0.00426766095385242,-0.00243071123893333
700,0.00157570204174523,0.00381988373756419,-0.00224418169581896
800,0.00137951054214786,0.00285656223374051,-0.00147705169159266
900,0.00122676533728115,0.00254027165800643,-0.00131350632072527
1000,0.00110447340061753,0.00262172978934463,-0.00151725638872711
1100,0.00100435297299474,0.00213044570029188,-0.00112609272729713
1200,0.000920875665720685,0.00204639036826819,-0.0011255147025475
1300,0.000850210027612531,0.00223287481999251,-0.00138266479237997
1400,0.00078961685424175,0.00199398195515593,-0.00120436510091418
1500,0.000737085867422746,0.00178687483011575,-0.001049788962693
2000,0.000553103704186861,0.00114531575109401,-0.000592212046907145
2500,0.000442621945399388,0.00100595896681679,-0.000563337021417403
3000,0.000368928873844642,0.000838474713283277,-0.000469545839438635
3500,0.000316272063552292,0.000686853471350937,-0.000370581407798645
4000,0.000276769113907941,0.000698911903807931,-0.00042214278989999
4500,0.000246038466829659,0.000596456889284021,-0.000350418422454362
5000,0.000221450085792957,0.00051447999729677,-0.000293029911503812
6000,0.000184561073594502,0.00041945698544205,-0.000234895911847548
7000,0.000158207046085224,0.000375541978081088,-0.000217334931995864
8000,0.00013843893643887,0.000286666484545134,-0.000148227548106264
9000,0.000123062205548544,0.00020510367591424,-8.20414703656958e-05
10000,0.000110759853971834,0.000274102668920196,-0.000163342814948362
12000,9.23047149549183e-05,0.000242416423113927,-0.000150111708159009
14000,7.91212885814932e-05,0.000235765455874146,-0.000156644167292653
16000,6.9233071105579e-05,0.00016434112838193,-9.51080572763509e-05
18000,6.15418514376947e-05,0.000149192367121684,-8.76505156839894e-05
20000,5.53886338595237e-05,0.000195818402533669,-0.000140429768674146
