"n","lambda","mse"
50,0,NA
50,0.00105291199477815,3.50033012052422
50,0.00210582398955631,2.46146254465768
50,0.00315873598433446,1.94965237964683
50,0.00421164797911262,1.62980494889842
50,0.00526455997389077,1.40685016508128
50,0.00631747196866893,1.24133716684037
50,0.00737038396344708,1.11338464988806
50,0.00842329595822524,1.01168201441053
50,0.00947620795300339,0.929232455010686
50,0.0105291199477815,0.861432437767852
50,0.0115820319425597,0.805105932195308
50,0.0126349439373379,0.75797756240226
50,0.013687855932116,0.718366326049933
50,0.0147407679268942,0.684998188533718
50,0.0157936799216723,0.656886476829426
50,0.0168465919164505,0.63325279646469
50,0.0178995039112286,0.613473143034833
50,0.0189524159060068,0.597040214912735
50,0.0200053279007849,0.583536452258626
50,0.0210582398955631,0.572614360903973
50,0.0221111518903412,0.563981896323982
50,0.0231640638851194,0.557391433316223
50,0.0242169758798976,0.552631322474278
50,0.0252698878746757,0.549519343142113
50,0.0263227998694539,0.547897567194685
50,0.027375711864232,0.547628286391943
50,0.0284286238590102,0.548590751319773
50,0.0294815358537883,0.550678536574204
50,0.0305344478485665,0.553797394159599
50,0.0315873598433446,0.557863491123839
50,0.0326402718381228,0.562801952270719
50,0.0336931838329009,0.568545647088292
50,0.0347460958276791,0.575034173670383
50,0.0357990078224573,0.582213002676654
50,0.0368519198172354,0.590032752180158
50,0.0379048318120136,0.59844857023433
50,0.0389577438067917,0.607419606616464
50,0.0400106558015699,0.616908558807968
50,0.041063567796348,0.62688128009944
50,0.0421164797911262,0.637306439943043
50,0.0431693917859043,0.648155228451888
50,0.0442223037806825,0.659401098368345
50,0.0452752157754606,0.671019538968072
50,0.0463281277702388,0.68298787729327
50,0.047381039765017,0.695285102862699
50,0.0484339517597951,0.707891712622725
50,0.0494868637545733,0.720789573410409
50,0.0505397757493514,0.73396179961797
50,0.0515926877441296,0.747392644094828
50,0.0526455997389077,0.761067400612155
50,0.0536985117336859,0.774972316456287
50,0.054751423728464,0.789094513919857
50,0.0558043357232422,0.803421919630125
50,0.0568572477180203,0.817943200798097
50,0.0579101597127985,0.83264770759433
50,0.0589630717075767,0.847525420961294
50,0.0600159837023548,0.862566905260937
50,0.061068895697133,0.87776326523209
50,0.0621218076919111,0.893106106797573
50,0.0631747196866893,0.908587501317017
50,0.0642276316814674,0.924199952929909
50,0.0652805436762456,0.939936368675299
50,0.0663334556710237,0.955790031111034
50,0.0673863676658019,0.971754573187019
50,0.06843927966058,0.987823955154624
50,0.0694921916553582,1.00399244331848
50,0.0705451036501363,1.02025459045802
50,0.0715980156449145,1.03660521776457
50,0.0726509276396927,1.05303939815638
50,0.0737038396344708,1.06955244084785
50,0.074756751629249,1.0861398770625
50,0.0758096636240271,1.1027974467898
50,0.0768625756188053,1.11952108649657
50,0.0779154876135834,1.13630691771187
50,0.0789683996083616,1.1531512364126
50,0.0800213116031397,1.17005050314381
50,0.0810742235979179,1.18700133381396
50,0.082127135592696,1.20400049111098
50,0.0831800475874742,1.22104487649001
50,0.0842329595822524,1.23813152268807
50,0.0852858715770305,1.25525758672495
50,0.0863387835718087,1.27242034335333
50,0.0873916955665868,1.28961717892418
50,0.088444607561365,1.30684558563663
50,0.0894975195561431,1.32410315614392
50,0.0905504315509213,1.34138757848974
50,0.0916033435456994,1.35869663135098
50,0.0926562555404776,1.37602817956535
50,0.0937091675352558,1.39338016992376
50,0.0947620795300339,1.4107506272091
50,0.0958149915248121,1.42813765046452
50,0.0968679035195902,1.44553940947557
50,0.0979208155143684,1.46295414145196
50,0.0989737275091465,1.48038014789551
50,0.100026639503925,1.49781579164221
50,0.101079551498703,1.51525949406687
50,0.102132463493481,1.53270973244014
50,0.103185375488259,1.55016503742794
50,0.104238287483037,1.56762399072444
100,0,NA
100,0.000542507748642805,1.40610055458949
100,0.00108501549728561,1.10129406591001
100,0.00162752324592842,0.941887650653817
100,0.00217003099457122,0.836720146567615
100,0.00271253874321403,0.759549985122141
100,0.00325504649185683,0.699356413099074
100,0.00379755424049964,0.650523136465278
100,0.00434006198914244,0.609819780693438
